,CD4,CD45RApos | Count,CD45RAneg | Count,CXCR5pos | Count,CXCR5neg | Count,CD127neg_CD25neg | Count,CD127neg_CD25pos | Count,CD127pos_CD25neg | Count,CD137neg_CD154pos | Count,CD137pos_CD154pos | Count,CD137pos_CD154neg | Count,CD127neg_pos_CD25neg | Count,CD45RAneg_CD127neg_pos_CD25neg | Count,CD45RApos_CD127neg_pos_CD25neg | Count,CD45RAneg_CD127neg_CD25pos | Count,CD45RApos_CD127neg_CD25pos | Count,
Compensation Controls_CD3 Alexa Fluor 430 Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CD4 PerCP-Cy5-5 Stained Control.fcs,50000,,,,,,,,,,,,,,,,
"Compensation Controls_CD8,2f,Viability APC-Cy7 Stained Control.fcs",50000,,,,,,,,,,,,,,,,
Compensation Controls_CD25 Pacific Blue Stained Control.fcs,49500,,,,,,,,,,,,,,,,
Compensation Controls_CD45RA FITC Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CD127 BV786 Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CD137 PE Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CD154 APC Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CXCR5 PE-Cy7 Stained Control.fcs,50000,,,,,,,,,,,,,,,,
H02_NC_Time_Point_60_CD4 T cells.fcs,5.54E5,4.00E5,154058,31351,5.23E5,203864,46252,302744,263,13.0,281,5.04E5,133874,369772,17761,28491,
H03_NC_Time_Point_60_CD4 T cells.fcs,359098,221311,137787,28214,330884,150501,30831,175892,179,5.00,164,326394,118527,207867,18085,12747,
H04_NC_Time_Point_60_CD4 T cells.fcs,4.67E5,137011,330468,68253,399226,126267,30156,308794,209,12.0,215,4.35E5,304434,130627,24275,5883,
H06_NC_Time_Point_60_CD4 T cells.fcs,242324,116546,125778,21597,220727,65001,17673,158213,109,6.00,110,223214,112520,110694,12157,5516,
H07_NC_Time_Point_60_CD4 T cells.fcs,379608,185351,194257,39459,340149,93748,22394,261962,170,28.0,150,355710,179878,175832,13335,9059,
H08_NC_Time_Point_60_CD4 T cells.fcs,231031,151667,79364,11186,219845,58302,15460,156317,102,13.0,108,214620,70004,144616,8719,6741,
H10_NC_Time_Point_60_CD4 T cells.fcs,5.62E5,4.43E5,118393,22968,5.39E5,135403,29303,394962,253,29.0,265,5.30E5,102655,4.28E5,14597,14706,
H11_NC_Time_Point_60_CD4 T cells.fcs,4.39E5,234644,204736,31167,4.08E5,121447,33367,282495,214,8.00,197,4.04E5,180977,222965,22249,11118,
H13_NC_Time_Point_60_CD4 T cells.fcs,6.33E5,4.16E5,217193,59876,5.73E5,123023,35695,4.71E5,287,29.0,297,5.94E5,198124,395738,17334,18361,
H14_NC_Time_Point_60_CD4 T cells.fcs,347533,284351,63182,11428,336105,112190,18910,214024,172,5.00,163,326213,51711,274502,10300,8610,
H17_NC_Time_Point_60_CD4 T cells.fcs,5.44E5,4.02E5,142682,22770,5.21E5,95645,39013,4.03E5,241,20.0,247,4.99E5,125864,373196,13770,25243,
H18_NC_Time_Point_60_CD4 T cells.fcs,323555,227886,95669,14151,309404,123799,16704,181131,156,3.00,164,304918,84064,220854,10346,6358,
H19_NC_Time_Point_60_CD4 T cells.fcs,4.12E5,202362,209826,29819,382369,128151,37427,243193,197,17.0,197,371298,185065,186233,22400,15027,
H20_NC_Time_Point_60_CD4 T cells.fcs,4.34E5,302088,131473,26065,4.07E5,174471,23611,232852,196,27.0,200,4.07E5,118864,288428,11200,12411,
H21_NC_Time_Point_60_CD4 T cells.fcs,4.11E5,232990,177930,22564,388356,116811,16463,276000,206,11.0,181,392789,167833,224956,9139,7325,
H22_NC_Time_Point_60_CD4 T cells.fcs,163134,137946,25188,2427,160707,82205,5440,74957,75.0,3.00,80.0,156698,22707,133991,2101,3339,
H23_NC_Time_Point_60_CD4 T cells.fcs,7.38E5,5.00E5,238388,52822,6.85E5,162204,46756,5.25E5,308,33.0,313,6.88E5,213624,4.74E5,22479,24277,
H24_NC_Time_Point_60_CD4 T cells.fcs,394953,205719,189234,47117,347836,75356,14883,301544,176,11.0,184,376872,178179,198693,9042,5842,
H25_NC_Time_Point_60_CD4 T cells.fcs,4.17E5,310467,106665,20834,396298,163946,27906,223777,175,14.0,190,387706,94902,292804,10801,17105,
H26_NC_Time_Point_60_CD4 T cells.fcs,5.33E5,262045,271278,44686,4.89E5,122865,31203,365431,258,13.0,260,4.88E5,242879,245417,22522,8681,
H28_NC_Time_Point_60_CD4 T cells.fcs,190024,108554,81470,18051,171973,41223,7569,139478,85.0,13.0,83.0,180701,75074,105627,5248,2322,
H29_NC_Time_Point_60_CD4 T cells.fcs,304565,130679,173886,36906,267659,104206,25207,171929,141,8.00,147,276133,153047,123086,18776,6431,
H30_NC_Time_Point_60_CD4 T cells.fcs,5.63E5,276992,285519,48675,5.14E5,132950,28351,398631,255,29.0,246,5.32E5,262472,269109,21270,7081,
H31_NC_Time_Point_60_CD4 T cells.fcs,4.75E5,279381,195975,30414,4.45E5,122403,22950,327305,207,24.0,204,4.50E5,181559,268150,12822,10129,
H32_NC_Time_Point_60_CD4 T cells.fcs,5.21E5,91389,4.30E5,97165,4.24E5,84576,24135,4.10E5,216,29.0,225,4.94E5,4.08E5,85808,19155,4980,
H33_NC_Time_Point_60_CD4 T cells.fcs,4.58E5,248173,210268,49796,4.09E5,111319,27699,316891,223,17.0,209,4.28E5,190205,238005,18439,9260,
H34_NC_Time_Point_60_CD4 T cells.fcs,395094,287142,107952,25132,369962,102496,22602,265355,196,9.00,181,367851,94490,273361,11189,11414,
H35_NC_Time_Point_60_CD4 T cells.fcs,6.09E5,393725,215523,39093,5.70E5,270993,34291,300222,306,8.00,299,5.71E5,189973,381242,23332,10959,
H36_NC_Time_Point_60_CD4 T cells.fcs,4.13E5,304272,108942,23746,389468,131614,27216,250971,202,10.0,204,382584,95703,286881,11640,15576,
H38_NC_Time_Point_60_CD4 T cells.fcs,4.74E5,302940,170590,45932,4.28E5,159074,16298,296472,205,20.0,216,4.56E5,161575,293971,8098,8200,
H39_NC_Time_Point_60_CD4 T cells.fcs,4.29E5,307493,121454,13657,4.15E5,162020,20775,244206,187,17.0,194,4.06E5,108000,298226,12538,8237,
H40_NC_Time_Point_60_CD4 T cells.fcs,298462,202258,96204,13340,285122,94179,16155,187253,146,7.00,131,281432,89172,194650,7757,8398,
H41_NC_Time_Point_60_CD4 T cells.fcs,317919,233144,84775,10625,307294,114933,20606,180478,166,4.00,152,295411,73227,222184,10472,10134,
H42_NC_Time_Point_60_CD4 T cells.fcs,268545,141517,127028,25088,243457,95962,14796,156544,122,11.0,123,252506,118150,135463,8728,6069,
H23_PC_Time_Point_60_CD4 T cells.fcs,250869,173736,77133,22307,228562,141767,29110,76653,209891,421,1447,218381,64634,153747,11231,17879,
H33_PC_Time_Point_60_CD4 T cells.fcs,251148,134055,117093,47304,203844,90088,40133,115067,169021,609,1228,205155,87766,117389,25268,14865,
H02_HBsAg_Time_Point_60_CD4 T cells.fcs,5.32E5,391004,141266,30324,5.02E5,177721,41394,311305,274,28.0,348,4.86E5,123913,362513,15086,26308,
H03_HBsAg_Time_Point_60_CD4 T cells.fcs,356205,222799,133406,28160,328045,147176,29747,177209,218,23.0,260,324385,115060,209325,17161,12586,
H04_HBsAg_Time_Point_60_CD4 T cells.fcs,4.95E5,148868,346615,75363,4.20E5,125696,30986,335769,300,24.0,341,4.61E5,319838,141627,24473,6513,
H06_HBsAg_Time_Point_60_CD4 T cells.fcs,306461,145400,161061,29914,276547,66502,19458,218208,161,20.0,179,284710,146253,138457,13087,6371,
H07_HBsAg_Time_Point_60_CD4 T cells.fcs,5.64E5,267160,297019,62466,5.02E5,112290,31733,4.16E5,379,56.0,356,5.29E5,275642,253135,18813,12920,
H08_HBsAg_Time_Point_60_CD4 T cells.fcs,343567,219790,123777,17090,326477,86945,22494,232294,278,12.0,268,319239,109490,209749,13047,9447,
H10_HBsAg_Time_Point_60_CD4 T cells.fcs,6.46E5,5.07E5,139048,23715,6.23E5,157672,31881,4.55E5,481,106,799,6.12E5,121776,4.90E5,16243,15638,
H11_HBsAg_Time_Point_60_CD4 T cells.fcs,5.49E5,303229,246242,35298,5.14E5,145522,40397,361201,312,17.0,462,5.07E5,218494,288229,26129,14268,
H13_HBsAg_Time_Point_60_CD4 T cells.fcs,7.33E5,4.74E5,258485,69948,6.63E5,138963,39948,5.50E5,641,102,955,6.89E5,236963,4.52E5,19505,20443,
H14_HBsAg_Time_Point_60_CD4 T cells.fcs,339047,277420,61627,10952,328095,122781,18343,194993,196,20.0,185,317774,50751,267023,9740,8603,
H17_HBsAg_Time_Point_60_CD4 T cells.fcs,5.94E5,4.36E5,157907,24374,5.70E5,104666,42109,4.41E5,417,110,603,5.45E5,139981,4.05E5,14389,27720,
H18_HBsAg_Time_Point_60_CD4 T cells.fcs,381327,272823,108504,17766,363561,133889,18518,226255,279,25.0,483,360126,96023,264103,10837,7681,
