,CD4,Treg,CD45RAneg_Treg,CD45RApos_Treg,CD137neg_CD45RAneg_Treg,CD137pos_CD45RAneg_Treg,CD137neg_CD45RApos_Treg,CD137pos_CD45RApos_Treg,CD137neg_CD45RAneg_Treg_CD137_MFI,CD137pos_CD45RAneg_Treg_CD137_MFI,CD137neg_CD45RAneg_Treg_CD25_MFI,CD137pos_CD45RAneg_Treg_CD25_MFI,CD137neg_CD45RAneg_Treg_CD127_MFI,CD137pos_CD45RAneg_Treg_CD127_MFI,CD137neg_CD45RAneg_Treg_CD154_MFI,CD137pos_CD45RAneg_Treg_CD154_MFI,
Compensation Controls_CD3 Alexa Fluor 430 Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CD4 PerCP-Cy5-5 Stained Control.fcs,50000,,,,,,,,,,,,,,,,
"Compensation Controls_CD8,2f,Viability APC-Cy7 Stained Control.fcs",50000,,,,,,,,,,,,,,,,
Compensation Controls_CD25 Pacific Blue Stained Control.fcs,49500,,,,,,,,,,,,,,,,
Compensation Controls_CD45RA FITC Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CD127 BV786 Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CD137 PE Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CD154 APC Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CXCR5 PE-Cy7 Stained Control.fcs,50000,,,,,,,,,,,,,,,,
H32_HBsAg_Time_Point_60_CD4 T cells.fcs,4.53E5,20058,16038,4020,9359,6502,3485,516,409,6753,3452,6025,1488,1677,236,319,
H33_NC_Time_Point_60_CD4 T cells.fcs,4.58E5,25614,17086,8528,12969,3982,8237,278,288,5204,3683,6992,1529,1816,191,246,
H33_PC_Time_Point_60_CD4 T cells.fcs,251148,29970,18550,11420,10566,7839,,,469,7636,3158,4326,1757,1861,19468,10530,
H33_HBsAg_Time_Point_60_CD4 T cells.fcs,5.28E5,27364,17976,9388,12916,4897,8862,500,294,5931,3548,6758,1454,1727,191,264,
H34_NC_Time_Point_60_CD4 T cells.fcs,395094,21696,11030,10666,6431,4491,9491,1144,446,5898,3786,6618,1842,2294,209,246,
H34_HBsAg_Time_Point_60_CD4 T cells.fcs,4.18E5,23332,11316,12016,5286,5929,9349,2588,478,7784,3628,6430,1645,2066,227,321,
H35_NC_Time_Point_60_CD4 T cells.fcs,6.09E5,32500,22443,10057,17063,5185,9681,355,377,4835,3253,5705,1574,1887,209,239,
H35_HBsAg_Time_Point_60_CD4 T cells.fcs,7.44E5,38789,26259,12530,15579,10402,11237,1250,409,6603,3367,5840,1560,1857,213,297,
H36_NC_Time_Point_60_CD4 T cells.fcs,4.13E5,26690,11440,15250,8778,2540,14961,264,297,4624,3767,7235,1609,1883,211,222,
H36_HBsAg_Time_Point_60_CD4 T cells.fcs,352265,20204,7798,12406,5652,2067,12072,319,322,5232,3637,7447,1609,1849,199,227,
H38_NC_Time_Point_60_CD4 T cells.fcs,4.74E5,15324,7728,7596,5966,1684,7399,188,314,4766,3213,6088,1454,1702,196,210,
H38_HBsAg_Time_Point_60_CD4 T cells.fcs,346963,11070,5455,5615,3759,1635,5294,306,345,5584,2985,5589,1310,1498,204,250,
H39_NC_Time_Point_60_CD4 T cells.fcs,4.29E5,20111,12403,7708,8799,3472,7463,230,440,4809,3384,5240,1663,1980,191,252,
H39_HBsAg_Time_Point_60_CD4 T cells.fcs,5.35E5,24697,15110,9587,9226,5711,8991,574,449,5707,3556,5560,1753,2107,185,267,
H40_NC_Time_Point_60_CD4 T cells.fcs,298462,15810,7570,8240,5702,1771,7955,242,302,5346,2366,5003,1529,1849,263,317,
H40_HBsAg_Time_Point_60_CD4 T cells.fcs,394189,20504,9911,10593,6040,3710,9420,1110,357,7118,2470,4802,1742,2111,304,416,
