,CD137neg_CD154pos_memory_TH | Count,CD137neg_CD154pos_memory_TFH | Count,CD137neg_CD154pos_naive_TH | Count,CD137neg_CD154pos_naive_TFH | Count,CD137neg_CD154pos_CD127neg_CD25neg_memory_TH | Count,CD137neg_CD154pos_CD127pos_CD25neg_memory_TH | Count,CD137neg_CD154pos_CD127neg_CD25neg_naive_TH | Count,CD137neg_CD154pos_CD127pos_CD25neg_naive_TH | Count,CD137neg_CD154pos_CD45RAneg_Treg | Count,CD137neg_CD154pos_CD45RAneg_TFR | Count,CD137neg_CD154pos_CD45RApos_Treg | Count,CD137neg_CD154pos_CD45RApos_TFR | Count,
Compensation Controls_CD3 Alexa Fluor 430 Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CD4 PerCP-Cy5-5 Stained Control.fcs,,,,,,,,,,,,,
"Compensation Controls_CD8,2f,Viability APC-Cy7 Stained Control.fcs",,,,,,,,,,,,,
Compensation Controls_CD25 Pacific Blue Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CD45RA FITC Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CD127 BV786 Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CD137 PE Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CD154 APC Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CXCR5 PE-Cy7 Stained Control.fcs,,,,,,,,,,,,,
H18_HBsAg_Time_Point_60_CD4 T cells.fcs,89.0,8.00,123,7.00,40.0,49.0,18.0,105,12.0,1.00,12.0,2.00,
H19_HBsAg_Time_Point_60_CD4 T cells.fcs,133,14.0,67.0,2.00,24.0,109,14.0,53.0,22.0,1.00,11.0,1.00,
H20_HBsAg_Time_Point_60_CD4 T cells.fcs,96.0,7.00,155,9.00,13.0,83.0,24.0,131,18.0,3.00,15.0,3.00,
H21_HBsAg_Time_Point_60_CD4 T cells.fcs,61.0,12.0,148,4.00,9.00,52.0,31.0,117,7.00,0,6.00,0,
H22_HBsAg_Time_Point_60_CD4 T cells.fcs,69.0,11.0,176,2.00,21.0,48.0,46.0,132,19.0,3.00,33.0,0,
H23_HBsAg_Time_Point_60_CD4 T cells.fcs,162,50.0,147,13.0,42.0,120,11.0,136,44.0,14.0,23.0,2.00,
H24_HBsAg_Time_Point_60_CD4 T cells.fcs,146,51.0,69.0,9.00,10.0,136,9.00,60.0,16.0,3.00,6.00,2.00,
H25_HBsAg_Time_Point_60_CD4 T cells.fcs,44.0,12.0,112,3.00,4.00,40.0,31.0,81.0,14.0,2.00,11.0,0,
H26_HBsAg_Time_Point_60_CD4 T cells.fcs,109,22.0,24.0,7.00,19.0,90.0,5.00,19.0,64.0,11.0,5.00,2.00,
H28_HBsAg_Time_Point_60_CD4 T cells.fcs,183,28.0,44.0,5.00,44.0,139,10.0,34.0,101,15.0,8.00,2.00,
H29_HBsAg_Time_Point_60_CD4 T cells.fcs,99.0,27.0,65.0,3.00,10.0,89.0,17.0,48.0,4.00,5.00,8.00,1.00,
H30_HBsAg_Time_Point_60_CD4 T cells.fcs,105,17.0,147,5.00,11.0,94.0,7.00,140,2.00,0,2.00,0,
H31_HBsAg_Time_Point_60_CD4 T cells.fcs,139,7.00,81.0,4.00,26.0,113,21.0,60.0,65.0,4.00,20.0,1.00,
H32_HBsAg_Time_Point_60_CD4 T cells.fcs,283,48.0,14.0,1.00,61.0,222,2.00,12.0,118,16.0,0,0,
H33_HBsAg_Time_Point_60_CD4 T cells.fcs,118,40.0,56.0,10.0,17.0,101,11.0,45.0,55.0,20.0,14.0,6.00,
H34_HBsAg_Time_Point_60_CD4 T cells.fcs,99.0,15.0,103,13.0,26.0,73.0,38.0,65.0,29.0,3.00,22.0,8.00,
H35_HBsAg_Time_Point_60_CD4 T cells.fcs,186,28.0,249,8.00,86.0,100,75.0,174,120,14.0,54.0,4.00,
H36_HBsAg_Time_Point_60_CD4 T cells.fcs,35.0,13.0,124,6.00,17.0,18.0,23.0,101,11.0,2.00,6.00,0,
H38_HBsAg_Time_Point_60_CD4 T cells.fcs,97.0,12.0,42.0,10.0,11.0,86.0,13.0,29.0,40.0,6.00,4.00,0,
H39_HBsAg_Time_Point_60_CD4 T cells.fcs,111,6.00,179,8.00,60.0,51.0,40.0,139,24.0,3.00,18.0,1.00,
H40_HBsAg_Time_Point_60_CD4 T cells.fcs,153,17.0,140,10.0,31.0,122,19.0,121,131,6.00,35.0,2.00,
H41_HBsAg_Time_Point_60_CD4 T cells.fcs,18.0,3.00,48.0,0,5.00,13.0,17.0,31.0,11.0,1.00,16.0,0,
H42_HBsAg_Time_Point_60_CD4 T cells.fcs,55.0,6.00,23.0,2.00,15.0,40.0,9.00,14.0,35.0,4.00,3.00,2.00,
H02_NC_Time_Point_180_CD4 T cells.fcs,63.0,11.0,50.0,4.00,13.0,50.0,13.0,37.0,40.0,4.00,6.00,1.00,
H03_NC_Time_Point_180_CD4 T cells.fcs,47.0,13.0,82.0,3.00,9.00,38.0,23.0,59.0,6.00,2.00,1.00,0,
H04_NC_Time_Point_180_CD4 T cells.fcs,53.0,15.0,12.0,2.00,0,53.0,1.00,11.0,0,0,0,0,
H06_NC_Time_Point_180_CD4 T cells.fcs,21.0,4.00,22.0,1.00,2.00,19.0,4.00,18.0,3.00,3.00,1.00,0,
