,CD4 | Median (Comp-BV786-A),TH | Median (Comp-BV786-A),naive_TH | Median (Comp-BV786-A),memory_TH | Median (Comp-BV786-A),TFH | Median (Comp-BV786-A),naive_TFH | Median (Comp-BV786-A),memory_TFH | Median (Comp-BV786-A),Treg | Median (Comp-BV786-A),CD45RApos_Treg | Median (Comp-BV786-A),CD45RAneg_Treg | Median (Comp-BV786-A),TFR | Median (Comp-BV786-A),CD45RApos_TFR | Median (Comp-BV786-A),CD45RAneg_TFR | Median (Comp-BV786-A)
Compensation Controls_CD3 Alexa Fluor 430 Stained Control.fcs,n/a,,,,,,,,,,,,
Compensation Controls_CD4 PerCP-Cy5-5 Stained Control.fcs,n/a,,,,,,,,,,,,
"Compensation Controls_CD8,2f,Viability APC-Cy7 Stained Control.fcs",n/a,,,,,,,,,,,,
Compensation Controls_CD25 Pacific Blue Stained Control.fcs,n/a,,,,,,,,,,,,
Compensation Controls_CD45RA FITC Stained Control.fcs,n/a,,,,,,,,,,,,
Compensation Controls_CD127 BV786 Stained Control.fcs,n/a,,,,,,,,,,,,
Compensation Controls_CD137 PE Stained Control.fcs,n/a,,,,,,,,,,,,
Compensation Controls_CD154 APC Stained Control.fcs,n/a,,,,,,,,,,,,
Compensation Controls_CXCR5 PE-Cy7 Stained Control.fcs,n/a,,,,,,,,,,,,
H32_NC_Time_Point_60_CD4 T cells.fcs,4575,4818,3609,5204,4448,4293,4455,1713,1749,1706,1808,1914,1717
H32_HBsAg_Time_Point_60_CD4 T cells.fcs,4455,4691,3596,5029,4385,4385,4385,1560,1560,1564,1801,1914,1738
H33_NC_Time_Point_60_CD4 T cells.fcs,3705,3850,3418,4922,4094,3870,4181,1627,1677,1599,1768,1790,1746
H33_PC_Time_Point_60_CD4 T cells.fcs,2669,2986,2852,3243,2747,2882,2689,1738,1638,1808,1720,1717,1720
H33_HBsAg_Time_Point_60_CD4 T cells.fcs,4037,4203,3692,5279,4377,4203,4448,1571,1638,1533,1753,1709,1790
H34_NC_Time_Point_60_CD4 T cells.fcs,3546,3640,3412,4852,3884,3837,3946,2058,2086,2031,2346,2363,2311
H34_HBsAg_Time_Point_60_CD4 T cells.fcs,3621,3724,3485,5056,4130,4080,4189,1895,1918,1864,2189,2209,2139
H35_NC_Time_Point_60_CD4 T cells.fcs,2689,2742,2645,3034,2981,3007,2975,1659,1673,1652,1812,1895,1735
H35_HBsAg_Time_Point_60_CD4 T cells.fcs,3192,3272,3181,3546,3473,3559,3442,1709,1768,1680,1937,1999,1876
H36_NC_Time_Point_60_CD4 T cells.fcs,3159,3255,3120,4002,3790,3850,3750,1652,1645,1670,1887,2039,1720
H36_HBsAg_Time_Point_60_CD4 T cells.fcs,3306,3400,3289,4094,4016,4037,4009,1684,1695,1670,1933,1933,1929
H38_NC_Time_Point_60_CD4 T cells.fcs,3209,3249,3093,3705,3590,3596,3584,1495,1484,1505,1753,1749,1753
H38_HBsAg_Time_Point_60_CD4 T cells.fcs,3126,3165,3034,3546,3534,3559,3528,1363,1360,1370,1702,1691,1764
H39_NC_Time_Point_60_CD4 T cells.fcs,2960,3018,2898,3565,3546,3546,3540,1760,1771,1753,2090,2123,1956
H39_HBsAg_Time_Point_60_CD4 T cells.fcs,3634,3718,3577,4408,4256,4233,4271,1914,1937,1891,2103,2168,1895
H40_NC_Time_Point_60_CD4 T cells.fcs,3272,3353,3007,4792,4203,3803,4331,1564,1536,1599,1731,1731,1731
H40_HBsAg_Time_Point_60_CD4 T cells.fcs,3960,4058,3653,5484,4940,4479,5102,1831,1786,1883,2222,2111,2350
H41_NC_Time_Point_60_CD4 T cells.fcs,3061,3187,2887,5020,3797,3685,3870,1543,1508,1578,1749,1797,1634
H41_HBsAg_Time_Point_60_CD4 T cells.fcs,3176,3324,3018,5020,4009,3925,4065,1444,1447,1440,1731,1666,1757
H42_NC_Time_Point_60_CD4 T cells.fcs,3790,3905,3528,4624,4016,3960,4030,2027,1945,2090,2341,2350,2333
H42_HBsAg_Time_Point_60_CD4 T cells.fcs,3830,3946,3565,4657,4116,4145,4108,1956,1922,1991,2359,2376,2320
H02_NC_Time_Point_180_CD4 T cells.fcs,3028,3088,2960,3503,4051,3647,4137,1440,1474,1397,1749,1695,1872
H02_PC_Time_Point_180_CD4 T cells.fcs,1987,2046,2039,2066,2324,2222,2346,1553,1488,1673,1749,1512,1883
H02_HBsAg_Time_Point_180_CD4 T cells.fcs,3126,3192,3066,3590,4271,3764,4385,1393,1413,1363,1749,1698,1880
H03_NC_Time_Point_180_CD4 T cells.fcs,3176,3295,2842,4009,3571,3546,3584,1864,1790,1895,1964,2015,1918
H03_HBsAg_Time_Point_180_CD4 T cells.fcs,3243,3383,2928,4065,3666,3621,3679,1771,1702,1801,1887,1910,1849
H04_NC_Time_Point_180_CD4 T cells.fcs,3002,3120,2752,3436,3283,3187,3312,1200,1380,1146,1481,1526,1397
H04_HBsAg_Time_Point_180_CD4 T cells.fcs,3018,3131,2723,3473,3278,3165,3318,1171,1343,1121,1471,1539,1363
H06_NC_Time_Point_180_CD4 T cells.fcs,3621,3724,3221,4487,3857,3777,3877,1673,1720,1655,1880,1999,1742
H06_HBsAg_Time_Point_180_CD4 T cells.fcs,3777,3905,3336,4758,4065,3995,4094,1641,1673,1631,1906,1968,1861
H07_NC_Time_Point_180_CD4 T cells.fcs,3485,3577,3187,4094,3797,3628,3843,1670,1666,1670,1764,1779,1753
H07_HBsAg_Time_Point_180_CD4 T cells.fcs,3559,3653,3249,4159,3960,3830,3995,1613,1634,1592,1834,1868,1775
H08_NC_Time_Point_180_CD4 T cells.fcs,3864,4016,3596,5327,4691,4535,4766,1768,1827,1731,2090,2180,1922
H08_HBsAg_Time_Point_180_CD4 T cells.fcs,4116,4278,3843,5645,5065,4913,5120,1727,1797,1684,2031,2062,1952
H10_NC_Time_Point_180_CD4 T cells.fcs,3295,3383,3318,3783,3724,3817,3679,1620,1627,1609,1808,1838,1717
H10_HBsAg_Time_Point_180_CD4 T cells.fcs,3479,3577,3503,4016,3946,4058,3911,1571,1609,1533,1812,1831,1768
H11_NC_Time_Point_180_CD4 T cells.fcs,3347,3460,3283,3870,3744,3757,3737,1698,1749,1655,1948,1983,1880
H11_HBsAg_Time_Point_180_CD4 T cells.fcs,3577,3705,3540,4065,3953,4002,3939,1673,1771,1599,2023,2019,2035
H13_NC_Time_Point_180_CD4 T cells.fcs,3770,3918,3757,4479,4293,4293,4293,1823,1895,1760,2070,2078,2046
